nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,PD-L1_CPS,HPV_p16,EGFR,MSI-H/dMMR,first_line,later_line,biomarker_selected
NCT03899792,A Study of Oral LOXO-292 (Selpercatinib) in Pediatric Participants With Advanced Solid or Primary Central Nervous System (CNS) Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,36,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,3,selpercatinib,selpercatinib,RET,Small Molecule,RET,0,1,0,0,0,0,0,0,0
NCT03916627,"Neoadjuvant Cemiplimab for the Treatment of Resectable NSCLC, HCC, and HNSCC in Adult Patients",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,65,Regeneron Pharmaceuticals,Regeneron,95,1,1,multi_experimental,7,cemiplimab,cemiplimab;fianlimab;platinum doublet,PD-1,Monoclonal Antibody,ALK;ROS1,1,1,0,0,1,0,0,0,1
NCT03942653,Androgen Deprivation Therapy (ADT) and Pembrolizumab for Advanced Stage Androgen Receptor-positive Salivary Gland Carcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,20,Manish Patel,Manish Patel,1,0,1,single_arm,1,goserelin acetate;pembrolizumab,goserelin acetate;pembrolizumab,PD-1,Monoclonal Antibody,AR;PD-L1,1,1,1,0,0,0,0,1,1
NCT03983954,"Naptumomab Estafenatox in Combination With Durvalumab in Subjects With Selected Advanced or Metastatic Solid Tumor, Including a Cohort Expansion in Esophageal Cancer.",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,120,NeoTX Therapeutics Ltd.,NeoTX Therapeutics,2,1,1,multi_experimental,11,naptumomab estafenatox and durvalumab,naptumomab estafenatox and durvalumab;obinutuzumab,5T4,Monoclonal Antibody,CD20;ER;HER2;PD-L1;biomarker;biomarker analysis,1,1,1,0,0,0,1,0,1
NCT04044859,ADP-A2M4CD8 as Monotherapy or in Combination With Either Nivolumab or Pembrolizumab in HLA-A2+ Subjects With MAGE-A4 Positive Tumors (SURPASS),PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,120,"USWM CT, LLC",USWM CT,8,1,0,single_arm,1,autologous genetically modified adp-a2m4cd8 cells alone or in combination with nivolumab every four weeks or pembrolizumab every 6 weeks,autologous genetically modified adp-a2m4cd8 cells alone or in combination with nivolumab every four weeks or pembrolizumab every 6 weeks,MAGE-A4,Cell Therapy,HLA-A2;MAGE-A4,1,1,0,0,0,0,0,0,0
NCT04074967,Study of ARRY-614 Plus Either Nivolumab or Nivolumab+Ipilimumab,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,70,Dan Zandberg,Dan Zandberg,6,0,0,multi_experimental,5,,phase ib arry-614 + nivolumab;phase ib arry-614 + nivolumab+ipilimumab;phase ii arry-614 + nivolumab;phase ii arry-614 + nivolumab+ipilimumab (melanoma);phase ii arry-614 + nivolumab+ipilimumab (rcc),CTLA-4,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0
NCT04080804,Study of Safety and Tolerability of Nivolumab Treatment Alone or in Combination With Relatlimab or Ipilimumab in Head and Neck Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,80,Dan Zandberg,Dan Zandberg,6,0,1,multi_experimental,2,nivolumab,ipilimumab;nivolumab;relatlimab,PD-1,Monoclonal Antibody,CD30;PD-L1,1,1,1,1,0,0,1,0,1
NCT04083599,GEN1042 Safety Trial and Anti-tumor Activity in Participants With Malignant Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,350,Genmab,Genmab,65,1,1,multi_experimental,2,gen1042,carboplatin;cisplatin;fluorouracil;gemcitabine;gen1042;nab-paclitaxel;paclitaxel;pembrolizumab;pemetrexed,CD40,Bispecific Antibody,PD-L1,1,1,0,0,0,0,0,1,0
NCT04116047,CompARE: Escalating Treatment of Intermediate and High-risk Oropharyngeal Cancer (OPC),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,785,University of Birmingham,University of Birmingham,20,0,1,active_comparator,2,cisplatin;radiotherapy,cisplatin;durvalumab;radiotherapy,PD-L1,Monoclonal Antibody,EGFR;PD-L1,1,1,1,1,0,0,0,0,1
NCT04140526,"Safety, PK and Efficacy of ONC-392 in Monotherapy and in Combination of Anti-PD-1 in Advanced Solid Tumors and NSCLC",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,733,"OncoC4, Inc.",OncoC4,10,1,0,multi_experimental,3,onc-392,docetaxel;onc-392;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0
NCT04152499,"Phase I-II, FIH, TROP2 ADC, Advanced Unresectable/Metastatic Solid Tumors, Refractory to Standard Therapies (KL264-01)",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,1410,Klus Pharma Inc.,Klus Pharma,4,1,0,multi_experimental,11,skb264,skb264,TROP2,ADC,ER;HER2;PR;TROP2,1,1,0,0,0,0,0,1,0
NCT04180371,Study BT5528-100 in Patients With Advanced Solid Tumors Associated With EphA2 Expression,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,288,BicycleTx Limited,BicycleTx,8,1,0,multi_experimental,3,bt5528,bt5528;nivolumab,EphA2,Monoclonal Antibody,EPHA2;biomarker,1,1,0,0,0,0,0,0,0
NCT04183166,A Clinical Trial Evaluating TG4050 in Head and Neck Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,80,Transgene,Transgene,14,1,0,multi_experimental,2,tg4050,tg4050,MUTANOME,mRNA,MUTANOME,0,1,1,0,0,0,0,0,1
NCT04198766,Study of INBRX-106 and INBRX-106 in Combination With Pembrolizumab (Keytruda®) in Subjects With Locally Advanced or Metastatic Solid Tumors (Hexavalent OX40 Agonist),PHASE1;PHASE2,Phase 2,RECRUITING,340,"Inhibrx Biosciences, Inc",Inhibrx Biosciences,4,1,1,active_comparator,15,inbrx-106 - hexavalent ox40 agonist antibody,carboplatin auc-5;carboplatin auc-6;cisplatin;gemcitabine (;inbrx-106 - hexavalent ox40 agonist antibody;nab-paclitaxel;paclitaxel;pembrolizumab;pemetrexed,OX40,Monoclonal Antibody,ALK;EGFR;MSI;MSI-H;PD-L1;TMB,1,1,1,0,1,0,1,1,1
NCT04209660,Lenvatinib and Pembrolizumab in People With Advanced Adenoid Cystic Carcinoma and Other Salivary Gland Cancers,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,64,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,multi_experimental,2,lenvatinib;pembrolizumab,lenvatinib;pembrolizumab,VEGF/VEGFR,Small Molecule,PD-L1,0,1,1,0,0,0,0,0,1
NCT04211337,A Study of Selpercatinib (LY3527723) in Participants With RET-Mutant Medullary Thyroid Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,291,"Loxo Oncology, Inc.",Eli Lilly,535,1,1,active_comparator,2,cabozantinib;vandetanib,selpercatinib,RET,Small Molecule,BRAF;NTRK;RET,0,1,0,0,0,0,0,0,0
NCT04255849,Nine-valent HPV Vaccine to Prevent Persistent Oral HPV Infection in Men Living With HIV,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,700,Weill Medical College of Cornell University,Weill Medical College of Cornell University,90,0,1,placebo_comparator,2,saline placebo,11;16;18;31;33;45;52;58);9 valent human papillomavirus vaccine (types 6,HPV,Oncolytic Virus,HPV,1,1,0,1,0,0,0,0,1
NCT04273061,Investigating the Effects of Atezolizumab in People Whose Tumour DNA or RNA Indicates Possible Sensitivity,PHASE2,Phase 2,RECRUITING,50,British Columbia Cancer Agency,British Columbia Cancer Agency,21,0,1,multi_experimental,3,atezolizumab,atezolizumab,PD-L1,Monoclonal Antibody,CMMRD;MET;MSI-H;PD-L1;TMB;genomic,1,1,1,0,0,0,0,0,1
NCT04280081,"A Study of Selpercatinib (LY3527723) in Participants With Advanced Solid Tumors Including RET Fusion-positive Solid Tumors, Medullary Thyroid Cancer and Other Tumors With RET Activation",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,77,Eli Lilly and Company,Eli Lilly,535,1,1,single_arm,1,selpercatinib,selpercatinib,RET,Small Molecule,RET,0,1,0,0,0,0,0,0,0
