nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,AFP,PD-L1,first_line,later_line,biomarker_selected
NCT04579380,Basket Study of Tucatinib and Trastuzumab in Solid Tumors With HER2 Alterations,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,217,"Seagen, a wholly owned subsidiary of Pfizer",Pfizer,687,1,1,single_arm,1,fulvestrant;trastuzumab;tucatinib,fulvestrant;trastuzumab;tucatinib,HER2,Small Molecule,HER2;MET,0,1,0,0,0,0,0
NCT04617522,Study of Sacituzumab Govitecan in Participants With Advanced or Metastatic Solid Tumor and Moderate Liver Impairment,PHASE1,Phase 1,RECRUITING,30,Gilead Sciences,Gilead Sciences,168,1,1,multi_experimental,2,sacituzumab govitecan-hziy,sacituzumab govitecan-hziy,TROP2,ADC,PD-L1,1,1,0,0,0,1,0
NCT04634357,"ET140203 T Cells in Pediatric Subjects With Hepatoblastoma, HCN-NOS, or Hepatocellular Carcinoma",PHASE1;PHASE2,Phase 2,RECRUITING,12,Eureka Therapeutics Inc.,Eureka Therapeutics,6,1,0,single_arm,1,et140203 t cells,et140203 t cells,,Vaccine,,1,1,1,0,0,1,1
NCT04639180,A Study to Evaluate Camrelizumab Plus Rivoceranib (Apatinib) as Adjuvant Therapy in Patients With Hepatocellular Carcinoma (HCC) at High Risk of Recurrence After Curative Resection or Ablation,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,687,"Jiangsu HengRui Medicine Co., Ltd.",Hengrui,312,1,0,multi_experimental,2,camrelizumab;rivoceranib (apatinib),camrelizumab;rivoceranib (apatinib),PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0
NCT04644068,Study of AZD5305 as Monotherapy and in Combination With Anti-cancer Agents in Patients With Advanced Solid Malignancies,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,702,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,6,azd5305,azd5305;camizestrant;carboplatin;dato-dxd;paclitaxel;t- dxd,PARP,Small Molecule,,0,1,0,0,0,1,0
NCT04658147,Feasibility and Efficacy of Perioperative Nivolumab With or Without Relatlimab for Patients With Potentially Resectable Hepatocellular Carcinoma (HCC),PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,31,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,1,multi_experimental,2,nivolumab,nivolumab;relatlimab,PD-1,Monoclonal Antibody,CD30;PD-L1,1,1,0,1,0,0,1
NCT04712643,A Study of TACE Combined With Atezolizumab Plus Bevacizumab or TACE Alone in Patients With Untreated Heaptocellular Carcionma,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,342,Hoffmann-La Roche,Roche/Genentech,922,1,1,active_comparator,2,device: transarterial chemoembolization (tace),atezolizumab;becavizumab;device: transarterial chemoembolization (tace),PD-L1,Monoclonal Antibody,CMMRD;MSI-H;TMB,1,1,0,0,0,0,0
NCT04745403,Redirected HBV-Specific T Cells in Patients With HBV-related HCC (SAFE-T-HBV),PHASE1,Phase 1,RECRUITING,10,Lion TCR Pte. Ltd.,Lion TCR Pte.,6,1,0,single_arm,1,mrna hbv/tcr t-cells,mrna hbv/tcr t-cells,HBV,mRNA,HBV,0,1,0,0,0,0,0
NCT04756648,Phase I Clinical Trial of CT0180 Cells in the Treatment of Hepatocellular Carcinoma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,21,Zhejiang University,Zhejiang University,58,0,0,single_arm,1,ct0180 cells,ct0180 cells,GPC3,CAR-T,CD19;PD-L1,1,1,0,1,0,0,1
NCT04770896,A Study of Atezolizumab With Lenvatinib or Sorafenib Versus Lenvatinib or Sorafenib Alone in Hepatocellular Carcinoma Previously Treated With Atezolizumab and Bevacizumab,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,557,Hoffmann-La Roche,Roche/Genentech,922,1,1,active_comparator,2,lenvatinib;sorafenib,atezolizumab;lenvatinib;sorafenib,PD-L1,Monoclonal Antibody,CMMRD;MSI-H;PR;TMB,1,1,0,0,0,1,0
NCT04802876,Efficacy of Tislelizumab and Spartalizumab Across Multiple Cancer-types in Patients with PD1-high MRNA Expressing Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,184,SOLTI Breast Cancer Research Group,SOLTI Breast Cancer Research Group,18,0,1,multi_experimental,3,,spartalizumab;tislelizumab,PD-1,Monoclonal Antibody,BRAF,1,1,0,1,0,0,1
NCT04806464,Clinical Study of VG161 in Subjects with Advanced Primary Liver Cancer,PHASE1,Phase 1,RECRUITING,44,CNBG-Virogin Biotech (Shanghai) Ltd.,CNBG-Virogin Biotech (Shanghai),5,1,0,single_arm,1,recombinant human il12/15-pdl1b oncolytic hsv-1 injection (vero cell)),recombinant human il12/15-pdl1b oncolytic hsv-1 injection (vero cell)),PD-L1,Oncolytic Virus,PD-L1,1,1,0,0,0,1,0
NCT04837885,Intra-arterial Hepatic (IAH) Infusion of Radiolabelled Somatostatin Analogs in GEP-NET Patients With Dominant Liver Metastases,PHASE2,Phase 2,RECRUITING,23,"University Hospital, Bordeaux","University Hospital, Bordeaux",8,0,0,single_arm,1,lutathera by intra-arterial hepatic (iah) injection;positron emission tomography computed tomography (pet/ct) with intra-hepatic (iah) injection;positron emission tomography computed tomography (pet/ct) with intravenous (iv) injection;scan,lutathera by intra-arterial hepatic (iah) injection;positron emission tomography computed tomography (pet/ct) with intra-hepatic (iah) injection;positron emission tomography computed tomography (pet/ct) with intravenous (iv) injection;scan,SSTR2,Radiopharmaceutical,SSTR2,0,1,0,0,0,0,0
NCT04857684,SBRT + Atezolizumab + Bevacizumab in Resectable HCC,EARLY_PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,20,Massachusetts General Hospital,Massachusetts General Hospital,170,0,1,single_arm,1,atezolizumab;bevacizumab;stereotactic beam radiation therapy (sbrt),atezolizumab;bevacizumab;stereotactic beam radiation therapy (sbrt),PD-L1,Monoclonal Antibody,CMMRD;MET;MSI-H;TMB,1,1,0,0,0,0,0
NCT04864054,GPC3-Targeted T-Cell Therapy (ECT204) in Adults With Advanced HCC,PHASE1;PHASE2,Phase 2,RECRUITING,60,Eureka Therapeutics Inc.,Eureka Therapeutics,6,1,0,single_arm,1,ect204 t cells,ect204 t cells,,Cell Therapy,,1,1,0,0,1,0,0
NCT04900818,Study of TJ033721 (Givastomig) in Subjects With Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,RECRUITING,330,I-Mab Biopharma US Limited,I-Mab Biopharma US,6,1,1,multi_experimental,4,tj033721 (givastomig),durvalumab;nivolumab;tj033721 (givastomig),,Bispecific Antibody,CLDN18.2;PD-L1,1,1,0,1,1,1,1
NCT04906434,"A Study to Assess the Safety, Tolerability, and Pharmacokinetics of ABSK-011 in Patients With Advanced Solid Tumor",PHASE1,Phase 1,RECRUITING,200,"Abbisko Therapeutics Co, Ltd",AbbVie,274,1,0,single_arm,1,absk-011,absk-011,FGFR4,Cell Therapy,FGF19,1,1,0,0,1,0,0
NCT04910386,Multicenter Phase 2 Study of Envafolimab in Biliary Tract Cancers,PHASE2,Phase 2,NOT_YET_RECRUITING,126,"3D Medicines (Sichuan) Co., Ltd.",3D Medicines (Sichuan),10,1,0,active_comparator,2,gemcitabine&cisplatin,envafolimab plus gemcitabine&cisplatin,PD-1,Monoclonal Antibody,MSI-H;PD-L1,1,1,0,0,0,1,0
NCT04912765,Neoantigen Dendritic Cell Vaccine and Nivolumab in HCC and Liver Metastases From CRC,PHASE2,Phase 2,RECRUITING,60,"National Cancer Centre, Singapore","National Cancer Centre, Singapore",19,0,1,single_arm,1,neoantigen dendritic cell vaccine;nivolumab,neoantigen dendritic cell vaccine;nivolumab,PD-1,Monoclonal Antibody,CD30;PD-L1,1,1,0,1,0,1,1
NCT04956640,Study of LY3537982 in Cancer Patients With a Specific Genetic Mutation (KRAS G12C),PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,540,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,3,ly3537982,carboplatin;cetuximab;cisplatin;ly3537982;pembrolizumab;pemetrexed,KRAS,Small Molecule,KRAS,0,1,0,0,1,0,0
NCT04969887,Combination Immunotherapy in Rare Cancers Under InvesTigation,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,240,Olivia Newton-John Cancer Research Institute,Olivia Newton-John Cancer Research Institute,7,0,1,single_arm,1,ipilimumab;nivolumab,ipilimumab;nivolumab,CTLA-4,Monoclonal Antibody,MMR;MSI;MSI-H;PD-L1;biomarker,1,1,0,1,0,0,1
NCT04999761,AB122 Platform Study,PHASE1,Phase 1,RECRUITING,917,"Taiho Pharmaceutical Co., Ltd.",Taiho,86,1,0,multi_experimental,18,ab122,ab122;ab154;bevacizumab;carboplatin;cisplatin;fluorouracil;gemcitabine;nab-paclitaxel;ramucirumab;tas-115;tas-116;tas-120;trifluridine/tipiracil,PD-1,Monoclonal Antibody,KRAS;MET;PD-L1,1,1,0,1,1,1,1
NCT05000294,Atezolizumab Plus Tivozanib in Immunologically Cold Tumor Types,PHASE1;PHASE2,Phase 2,RECRUITING,29,University of Florida,University of Florida,28,0,1,single_arm,1,atezolizumab;tivozanib,atezolizumab;tivozanib,PD-L1,Monoclonal Antibody,CMMRD;HER2;MET;MSI;MSI-H;PD-L1;TMB;dMMR,1,1,0,1,0,0,1
NCT05022927,A Phase I Study of ERY974 in Patients With Hepatocellular Carcinoma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,179,Chugai Pharmaceutical,Chugai Pharmaceutical,15,1,0,multi_experimental,5,atezolizumab;bevacizumab;ery974;tocilicumab,atezolizumab;bevacizumab;ery974;tocilicumab,GPC3,Bispecific Antibody,biomarker,1,1,0,0,0,0,0
NCT05024214,Phase Ib/II Trial of Envafolimab Plus Lenvatinib for Subjects With Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,170,"3D Medicines (Sichuan) Co., Ltd.",3D Medicines (Sichuan),10,1,0,multi_experimental,6,,lenvatinib + envafolimab;sunitinib,VEGF/VEGFR,Small Molecule,PD-L1,0,1,0,0,0,1,0
