nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,HER2,PD-L1_CPS,CLDN18.2,MSI-H/dMMR,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT06172478,A Study of HER3-DXd in Subjects With Locally Advanced or Metastatic Solid Tumors,PHASE2,Phase 2,RECRUITING,740,Daiichi Sankyo,Daiichi Sankyo,178,1,1,single_arm,1,her3-dxd,her3-dxd,HER3,ADC,ALK;BRAF;CLDN18.2;ER;HER2;HER3;KRAS;MET;MMR;MSI;NTRK;PD-L1;RET;ROS1;genomic,1,1,1,1,1,0,1,1,1,"HER2+, PD-L1+, CLDN18.2+",metastatic · 1st-line · adenoca. · measurable (RECIST) · ECOG 0
NCT06194734,A Study of KC1036 Versus Investigator's Choice of Chemotherapy in Patients With Advanced Esophageal Cancer,PHASE3,Phase 3,RECRUITING,490,"Beijing Konruns Pharmaceutical Co., Ltd.",Beijing Konruns Pharmaceutical,10,1,0,active_comparator,2,docetaxel;irinotecan;s-1,kc1036,AXL,Small Molecule,PD-L1,0,1,0,1,0,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT06238479,"A Study of LY4101174 in Participants With Recurrent, Advanced or Metastatic Solid Tumors",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,490,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,3,ly4101174,ly4101174,NECTIN4,ADC,NECTIN-4,1,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT06239194,Dose Escalation and Dose Expansion Study of MDX2001 in Patients With Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,285,"ModeX Therapeutics, An OPKO Health Company","ModeX Therapeutics, An OPKO Health",3,1,0,multi_experimental,4,mdx2001,mdx2001,CD3,Bispecific Antibody,MET;TROP2,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT06242470,A Study of MGC026 in Participants With Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,250,MacroGenics,MacroGenics,29,1,0,multi_experimental,12,,mgc026 dose escalation;mgc026 dose for expansion,,,,0,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT06266299,A Study of KK2269 in Adult Participants With Solid Tumors,PHASE1,Phase 1,RECRUITING,101,"Kyowa Kirin Co., Ltd.",Kyowa Kirin,63,1,0,multi_experimental,2,kk2269,docetaxel;kk2269,CD40,Bispecific Antibody,EPCAM,1,1,0,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST) · ECOG 0
NCT06293898,Open Label Study to Evaluate BL-M07D1 in HER2 Expressing Malignant Solid Tumors,PHASE1,Phase 1,RECRUITING,280,SystImmune Inc.,SystImmune,7,1,0,multi_experimental,3,bl-m07d1,bl-m07d1,HER2,ADC,HER2;MET;PD-L1,1,1,1,1,0,0,0,1,1,"HER2+, PD-L1+",metastatic · 2nd-line+ · squamous · measurable (RECIST) · ECOG 0-1
NCT06298916,64Cu-LNTH-1363S in Patients With Sarcoma or Gastrointestinal Tract Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,26,Lantheus Medical Imaging,Lantheus Medical Imaging,4,1,0,multi_experimental,2,64cu-lnth-1363s,64cu-lnth-1363s,FAP,Radiopharmaceutical,FAP,0,1,0,0,0,0,0,0,0,,metastatic
NCT06304974,A Study Comparing BL-B01D1 With Chemotherapy of Physician's Choice in Patients With Recurrent or Metastatic Esophageal Squamous Cell Carcinoma(PANKU-Esophagus01),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,497,"Sichuan Baili Pharmaceutical Co., Ltd.",Sichuan Baili Pharmaceutical,127,1,0,multi_experimental,2,,bl-b01d1;docetaxel;irinotecan;paclitaxel,PD-1,ADC,PD-L1,1,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST) · ECOG 0
NCT06324357,Beamion BCGC-1: A Study to Find a Suitable Dose of Zongertinib Used Alone and in Combination With Other Treatments to Test Whether it Helps People With Different Types of HER2+ Cancer That Has Spread,PHASE1;PHASE2,Phase 2,RECRUITING,768,Boehringer Ingelheim,Boehringer Ingelheim,237,1,1,multi_experimental,18,zongertinib,FOLFOX;capecitabine;trastuzumab;trastuzumab deruxtecan;trastuzumab emtansine;zanidatamab;zongertinib,HER2,Small Molecule,HER2,0,1,1,0,0,0,0,0,1,HER2+,metastatic · adenoca. · measurable (RECIST) · ECOG 0
NCT06329869,Sacituzumab Govitecan for Advanced Esophageal Squamous Cell Carcinoma,PHASE2,Phase 2,RECRUITING,35,National Taiwan University Hospital,National Taiwan University Hospital,22,0,1,single_arm,1,sacituzumab govitecan,sacituzumab govitecan,TROP2,ADC,PD-L1;TROP2,1,1,0,1,0,0,0,0,1,PD-L1+,metastatic · adenoca. · measurable (RECIST)
NCT06380816,A Phase I/II Trial of UCB4594 in Participants With Advanced Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,167,Cancer Research UK,Cancer Research UK,16,0,0,multi_experimental,2,ucb4594,ucb4594,,,,0,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · squamous · measurable (RECIST)
